row_index,id_student,code_module,code_presentation,actual_at_risk,predicted_at_risk,risk_probability,risk_level,recommendations_json,clicks_week1_28d,clicks_week2_28d,clicks_week3_28d,clicks_week4_28d,weekly_click_slope_28d,active_days_28d,active_days_last7d,days_since_last_activity_28d,assessment_mean_score_28d,assessment_completion_rate_28d,assessments_missed_28d,engagement_direction
136,306897,AAA,2013J,0,0,0.0887678411664905,Low,"[{""factor"": ""monitor"", ""recommendation"": ""Continue routine monitoring and reinforce current study habits."", ""reason"": ""Calibrated risk is below the low-risk boundary; low risk is relative and does not guarantee success.""}]",263.0,215.0,137.0,201.0,-26.4,28.0,7.0,0.0,72.0,1.0,0.0,Declining
153,334333,AAA,2013J,1,1,0.6692250281611815,High,"[{""factor"": ""low_early_assessment_score"", ""recommendation"": ""Schedule targeted academic review on the topics covered by the early assessments."", ""reason"": ""Early mean assessment score (36.0) is relatively low.""}]",31.0,15.0,62.0,7.0,-2.5,15.0,2.0,3.0,36.0,1.0,0.0,Declining
154,335764,AAA,2013J,1,0,0.0583795563264459,Low,"[{""factor"": ""monitor"", ""recommendation"": ""Continue routine monitoring and reinforce current study habits."", ""reason"": ""Calibrated risk is below the low-risk boundary; low risk is relative and does not guarantee success.""}]",187.0,334.0,131.0,157.0,-29.3,24.0,6.0,0.0,86.0,1.0,0.0,Declining
155,336207,AAA,2013J,0,0,0.1192980086315218,Low,"[{""factor"": ""monitor"", ""recommendation"": ""Continue routine monitoring and reinforce current study habits."", ""reason"": ""Calibrated risk is below the low-risk boundary; low risk is relative and does not guarantee success.""}]",144.0,135.0,135.0,71.0,-21.9,19.0,4.0,2.0,71.0,1.0,0.0,Declining
156,339972,AAA,2013J,0,0,0.2998886237151005,Medium,"[{""factor"": ""recent_inactivity"", ""recommendation"": ""Use a supportive check-in to re-engage the student with current learning activities."", ""reason"": ""No recorded VLE activity for about 12 day(s) before the prediction point.""}, {""factor"": ""low_recent_engagement"", ""recommendation"": ""Encourage a short, regular weekly study schedule and monitor activity over the next week."", ""reason"": ""Recent engagement is in the lower range observed in the development data.""}, {""factor"": ""declining_engagement"", ""recommendation"": ""Check for barriers causing declining engagement and agree on a recovery plan."", ""reason"": ""Weekly activity is trending downward across the first four weeks.""}]",57.0,0.0,28.0,0.0,-14.3,4.0,0.0,12.0,68.0,1.0,0.0,Declining
161,344282,AAA,2013J,1,1,0.500110727479545,High,"[{""factor"": ""low_early_assessment_score"", ""recommendation"": ""Schedule targeted academic review on the topics covered by the early assessments."", ""reason"": ""Early mean assessment score (61.0) is relatively low.""}, {""factor"": ""recent_inactivity"", ""recommendation"": ""Use a supportive check-in to re-engage the student with current learning activities."", ""reason"": ""No recorded VLE activity for about 10 day(s) before the prediction point.""}, {""factor"": ""low_recent_engagement"", ""recommendation"": ""Encourage a short, regular weekly study schedule and monitor activity over the next week."", ""reason"": ""Recent engagement is in the lower range observed in the development data.""}]",13.0,10.0,5.0,0.0,-4.4,6.0,0.0,10.0,61.0,1.0,0.0,Declining
168,364177,AAA,2013J,1,1,0.3305949749714714,High,"[{""factor"": ""low_early_assessment_score"", ""recommendation"": ""Schedule targeted academic review on the topics covered by the early assessments."", ""reason"": ""Early mean assessment score (64.0) is relatively low.""}, {""factor"": ""declining_engagement"", ""recommendation"": ""Check for barriers causing declining engagement and agree on a recovery plan."", ""reason"": ""Weekly activity is trending downward across the first four weeks.""}]",91.0,25.0,46.0,12.0,-21.6,14.0,2.0,4.0,64.0,1.0,0.0,Declining
178,383254,AAA,2013J,0,0,0.1450740073163613,Low,"[{""factor"": ""monitor"", ""recommendation"": ""Continue routine monitoring and reinforce current study habits."", ""reason"": ""Calibrated risk is below the low-risk boundary; low risk is relative and does not guarantee success.""}]",41.0,19.0,46.0,28.0,-1.2,16.0,3.0,1.0,74.0,1.0,0.0,Declining
179,386924,AAA,2013J,0,1,0.6453027301117682,High,"[{""factor"": ""low_early_assessment_score"", ""recommendation"": ""Schedule targeted academic review on the topics covered by the early assessments."", ""reason"": ""Early mean assessment score (59.0) is relatively low.""}]",6.0,7.0,16.0,16.0,3.9,9.0,2.0,2.0,59.0,1.0,0.0,Improving
185,392931,AAA,2013J,0,1,0.4688092076176135,High,"[{""factor"": ""missed_assessments"", ""recommendation"": ""Review missed or overdue assessments and agree on a catch-up plan."", ""reason"": ""1 assessment(s) due in the observation window were not completed.""}]",78.0,123.0,15.0,152.0,11.4,13.0,4.0,1.0,,0.0,1.0,Improving
190,402470,AAA,2013J,0,0,0.1444078475377066,Low,"[{""factor"": ""monitor"", ""recommendation"": ""Continue routine monitoring and reinforce current study habits."", ""reason"": ""Calibrated risk is below the low-risk boundary; low risk is relative and does not guarantee success.""}]",157.0,58.0,168.0,45.0,-22.6,19.0,3.0,1.0,80.0,1.0,0.0,Declining
201,470588,AAA,2013J,1,0,0.1322078180067457,Low,"[{""factor"": ""monitor"", ""recommendation"": ""Continue routine monitoring and reinforce current study habits."", ""reason"": ""Calibrated risk is below the low-risk boundary; low risk is relative and does not guarantee success.""}]",6.0,3.0,230.0,15.0,25.4,8.0,1.0,5.0,86.0,1.0,0.0,Improving
205,498857,AAA,2013J,0,0,0.0949398475098374,Low,"[{""factor"": ""monitor"", ""recommendation"": ""Continue routine monitoring and reinforce current study habits."", ""reason"": ""Calibrated risk is below the low-risk boundary; low risk is relative and does not guarantee success.""}]",125.0,43.0,48.0,46.0,-23.2,16.0,3.0,0.0,77.0,1.0,0.0,Declining
210,564450,AAA,2013J,1,1,0.4664491594540867,High,"[{""factor"": ""low_early_assessment_score"", ""recommendation"": ""Schedule targeted academic review on the topics covered by the early assessments."", ""reason"": ""Early mean assessment score (64.0) is relatively low.""}, {""factor"": ""recent_inactivity"", ""recommendation"": ""Use a supportive check-in to re-engage the student with current learning activities."", ""reason"": ""No recorded VLE activity for about 11 day(s) before the prediction point.""}, {""factor"": ""low_recent_engagement"", ""recommendation"": ""Encourage a short, regular weekly study schedule and monitor activity over the next week."", ""reason"": ""Recent engagement is in the lower range observed in the development data.""}]",0.0,0.0,43.0,0.0,4.3,1.0,0.0,11.0,64.0,1.0,0.0,Improving
211,568601,AAA,2013J,1,0,0.166349438809659,Low,"[{""factor"": ""monitor"", ""recommendation"": ""Continue routine monitoring and reinforce current study habits."", ""reason"": ""Calibrated risk is below the low-risk boundary; low risk is relative and does not guarantee success.""}]",0.0,72.0,119.0,26.0,12.5,7.0,1.0,5.0,85.0,1.0,0.0,Improving
213,580389,AAA,2013J,0,0,0.1444277739015055,Low,"[{""factor"": ""monitor"", ""recommendation"": ""Continue routine monitoring and reinforce current study habits."", ""reason"": ""Calibrated risk is below the low-risk boundary; low risk is relative and does not guarantee success.""}]",291.0,93.0,121.0,3.0,-83.6,12.0,1.0,4.0,75.0,1.0,0.0,Declining
219,704156,AAA,2013J,0,0,0.1074773827548355,Low,"[{""factor"": ""monitor"", ""recommendation"": ""Continue routine monitoring and reinforce current study habits."", ""reason"": ""Calibrated risk is below the low-risk boundary; low risk is relative and does not guarantee success.""}]",128.0,227.0,165.0,140.0,-2.6,20.0,3.0,0.0,67.0,1.0,0.0,Declining
226,968578,AAA,2013J,0,1,0.3799903881070834,High,"[{""factor"": ""low_early_assessment_score"", ""recommendation"": ""Schedule targeted academic review on the topics covered by the early assessments."", ""reason"": ""Early mean assessment score (62.0) is relatively low.""}]",15.0,6.0,30.0,76.0,20.7,9.0,4.0,1.0,62.0,1.0,0.0,Improving
244,1686521,AAA,2013J,1,0,0.2463637189787077,Low,"[{""factor"": ""monitor"", ""recommendation"": ""Continue routine monitoring and reinforce current study habits."", ""reason"": ""Calibrated risk is below the low-risk boundary; low risk is relative and does not guarantee success.""}]",111.0,104.0,195.0,85.0,1.3,21.0,3.0,0.0,68.0,1.0,0.0,Improving
252,1860318,AAA,2013J,0,1,0.5162955427764467,High,"[{""factor"": ""low_early_assessment_score"", ""recommendation"": ""Schedule targeted academic review on the topics covered by the early assessments."", ""reason"": ""Early mean assessment score (57.0) is relatively low.""}]",152.0,3.0,72.0,196.0,20.1,15.0,6.0,0.0,57.0,1.0,0.0,Improving
253,1889511,AAA,2013J,0,1,0.3515471755704558,High,"[{""factor"": ""recent_inactivity"", ""recommendation"": ""Use a supportive check-in to re-engage the student with current learning activities."", ""reason"": ""No recorded VLE activity for about 6 day(s) before the prediction point.""}, {""factor"": ""low_recent_engagement"", ""recommendation"": ""Encourage a short, regular weekly study schedule and monitor activity over the next week."", ""reason"": ""Recent engagement is in the lower range observed in the development data.""}]",53.0,111.0,181.0,21.0,-2.6,13.0,1.0,6.0,72.0,1.0,0.0,Declining
257,1942396,AAA,2013J,0,1,0.5996555220820186,High,"[{""factor"": ""low_early_assessment_score"", ""recommendation"": ""Schedule targeted academic review on the topics covered by the early assessments."", ""reason"": ""Early mean assessment score (50.0) is relatively low.""}]",7.0,59.0,65.0,34.0,8.7,9.0,3.0,1.0,50.0,1.0,0.0,Improving
259,1976139,AAA,2013J,0,1,0.4238722432287536,High,"[{""factor"": ""recent_inactivity"", ""recommendation"": ""Use a supportive check-in to re-engage the student with current learning activities."", ""reason"": ""No recorded VLE activity for about 8 day(s) before the prediction point.""}, {""factor"": ""low_recent_engagement"", ""recommendation"": ""Encourage a short, regular weekly study schedule and monitor activity over the next week."", ""reason"": ""Recent engagement is in the lower range observed in the development data.""}]",0.0,6.0,24.0,0.0,1.8,4.0,0.0,8.0,75.0,1.0,0.0,Improving
263,2062879,AAA,2013J,1,0,0.196653739756054,Low,"[{""factor"": ""monitor"", ""recommendation"": ""Continue routine monitoring and reinforce current study habits."", ""reason"": ""Calibrated risk is below the low-risk boundary; low risk is relative and does not guarantee success.""}]",186.0,78.0,53.0,77.0,-35.2,19.0,3.0,1.0,56.0,1.0,0.0,Declining
267,2083877,AAA,2013J,0,0,0.2058675165477098,Low,"[{""factor"": ""monitor"", ""recommendation"": ""Continue routine monitoring and reinforce current study habits."", ""reason"": ""Calibrated risk is below the low-risk boundary; low risk is relative and does not guarantee success.""}]",35.0,113.0,87.0,39.0,-1.4,15.0,4.0,0.0,72.0,1.0,0.0,Declining
269,2104505,AAA,2013J,0,0,0.2375777779256183,Low,"[{""factor"": ""monitor"", ""recommendation"": ""Continue routine monitoring and reinforce current study habits."", ""reason"": ""Calibrated risk is below the low-risk boundary; low risk is relative and does not guarantee success.""}]",137.0,60.0,109.0,27.0,-28.1,13.0,3.0,0.0,80.0,1.0,0.0,Declining
272,2143752,AAA,2013J,0,1,0.393714014062566,High,"[{""factor"": ""low_early_assessment_score"", ""recommendation"": ""Schedule targeted academic review on the topics covered by the early assessments."", ""reason"": ""Early mean assessment score (50.0) is relatively low.""}, {""factor"": ""declining_engagement"", ""recommendation"": ""Check for barriers causing declining engagement and agree on a recovery plan."", ""reason"": ""Weekly activity is trending downward across the first four weeks.""}]",110.0,129.0,67.0,85.0,-13.7,15.0,3.0,3.0,50.0,1.0,0.0,Declining
273,2146792,AAA,2013J,0,0,0.1070907257642527,Low,"[{""factor"": ""monitor"", ""recommendation"": ""Continue routine monitoring and reinforce current study habits."", ""reason"": ""Calibrated risk is below the low-risk boundary; low risk is relative and does not guarantee success.""}]",80.0,131.0,110.0,76.0,-3.3,27.0,7.0,0.0,68.0,1.0,0.0,Declining
274,2153153,AAA,2013J,0,0,0.1548381268028041,Low,"[{""factor"": ""monitor"", ""recommendation"": ""Continue routine monitoring and reinforce current study habits."", ""reason"": ""Calibrated risk is below the low-risk boundary; low risk is relative and does not guarantee success.""}]",289.0,312.0,161.0,122.0,-65.2,14.0,2.0,1.0,61.0,1.0,0.0,Declining
279,2194100,AAA,2013J,0,0,0.2057449593376357,Low,"[{""factor"": ""monitor"", ""recommendation"": ""Continue routine monitoring and reinforce current study habits."", ""reason"": ""Calibrated risk is below the low-risk boundary; low risk is relative and does not guarantee success.""}]",325.0,90.0,77.0,9.0,-96.1,16.0,1.0,1.0,64.0,1.0,0.0,Declining
283,2255601,AAA,2013J,1,0,0.0597781296459925,Low,"[{""factor"": ""monitor"", ""recommendation"": ""Continue routine monitoring and reinforce current study habits."", ""reason"": ""Calibrated risk is below the low-risk boundary; low risk is relative and does not guarantee success.""}]",88.0,340.0,232.0,262.0,41.4,21.0,6.0,0.0,71.0,1.0,0.0,Improving
288,2329342,AAA,2013J,0,1,0.5296001921360954,High,"[{""factor"": ""low_early_assessment_score"", ""recommendation"": ""Schedule targeted academic review on the topics covered by the early assessments."", ""reason"": ""Early mean assessment score (56.0) is relatively low.""}, {""factor"": ""recent_inactivity"", ""recommendation"": ""Use a supportive check-in to re-engage the student with current learning activities."", ""reason"": ""No recorded VLE activity for about 9 day(s) before the prediction point.""}, {""factor"": ""low_recent_engagement"", ""recommendation"": ""Encourage a short, regular weekly study schedule and monitor activity over the next week."", ""reason"": ""Recent engagement is in the lower range observed in the development data.""}, {""factor"": ""declining_engagement"", ""recommendation"": ""Check for barriers causing declining engagement and agree on a recovery plan."", ""reason"": ""Weekly activity is trending downward across the first four weeks.""}]",95.0,35.0,112.0,0.0,-20.8,10.0,0.0,9.0,56.0,1.0,0.0,Declining
294,2364471,AAA,2013J,0,0,0.0880776056649184,Low,"[{""factor"": ""monitor"", ""recommendation"": ""Continue routine monitoring and reinforce current study habits."", ""reason"": ""Calibrated risk is below the low-risk boundary; low risk is relative and does not guarantee success.""}]",302.0,297.0,444.0,319.0,19.8,29.0,7.0,0.0,90.0,1.0,0.0,Improving
297,2376496,AAA,2013J,0,0,0.1183458876554628,Low,"[{""factor"": ""monitor"", ""recommendation"": ""Continue routine monitoring and reinforce current study habits."", ""reason"": ""Calibrated risk is below the low-risk boundary; low risk is relative and does not guarantee success.""}]",94.0,56.0,70.0,59.0,-9.1,21.0,7.0,0.0,64.0,1.0,0.0,Declining
301,2412002,AAA,2013J,0,0,0.093747995362598,Low,"[{""factor"": ""monitor"", ""recommendation"": ""Continue routine monitoring and reinforce current study habits."", ""reason"": ""Calibrated risk is below the low-risk boundary; low risk is relative and does not guarantee success.""}]",172.0,197.0,297.0,178.0,11.8,27.0,7.0,0.0,86.0,1.0,0.0,Improving
305,2449878,AAA,2013J,0,1,0.4185336196590482,High,"[{""factor"": ""recent_inactivity"", ""recommendation"": ""Use a supportive check-in to re-engage the student with current learning activities."", ""reason"": ""No recorded VLE activity for about 5 day(s) before the prediction point.""}, {""factor"": ""low_recent_engagement"", ""recommendation"": ""Encourage a short, regular weekly study schedule and monitor activity over the next week."", ""reason"": ""Recent engagement is in the lower range observed in the development data.""}]",14.0,23.0,36.0,36.0,7.9,9.0,1.0,5.0,66.0,1.0,0.0,Improving
311,2469673,AAA,2013J,1,1,0.7732133535521349,High,"[{""factor"": ""missed_assessments"", ""recommendation"": ""Review missed or overdue assessments and agree on a catch-up plan."", ""reason"": ""1 assessment(s) due in the observation window were not completed.""}, {""factor"": ""low_recent_engagement"", ""recommendation"": ""Encourage a short, regular weekly study schedule and monitor activity over the next week."", ""reason"": ""Recent engagement is in the lower range observed in the development data.""}]",15.0,0.0,45.0,19.0,5.7,3.0,1.0,3.0,,0.0,1.0,Improving
